Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783278228,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783278229,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783278230,15,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,570,625.8672999996634,531.8501000001561,1035.830699998769,84.0
1783278230,15,,Aggregated,0.000000,0.000000,610,620,630,640,1000,1000,1000,1000,1000,1000,1000,10,0,570,625.8672999996634,531.8501000001561,1035.830699998769,84.0
1783278231,20,GET,/,0.000000,0.000000,520,530,540,540,550,570,570,570,570,570,570,19,0,530,522.4971368419286,251.55009999980393,1035.830699998769,84.0
1783278231,20,GET,/ (repeat),0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,265.92259999961243,265.92259999961243,265.92259999961243,265.92259999961243,84.0
1783278231,20,,Aggregated,0.000000,0.000000,530,550,610,620,640,1000,1000,1000,1000,1000,1000,20,0,530,509.66840999981287,251.55009999980393,1035.830699998769,84.0
1783278232,25,GET,/,2.500000,0.000000,510,520,530,530,540,550,570,570,570,570,570,32,0,520,448.52356562489604,251.55009999980393,1035.830699998769,84.0
1783278232,25,GET,/ (repeat),0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,260,330.48534999943513,253.9240999994945,540.230700000393,84.0
1783278232,25,,Aggregated,2.500000,0.000000,520,530,540,540,620,640,1000,1000,1000,1000,1000,36,0,520,435.40820833317815,251.55009999980393,1035.830699998769,84.0
1783278233,25,GET,/,3.666667,0.000000,310,520,530,540,550,550,580,580,580,580,580,47,0,310,417.2051638297296,250.26319999960833,1035.830699998769,84.0
1783278233,25,GET,/ (repeat),0.000000,0.000000,260,540,540,580,580,580,580,580,580,580,580,7,0,260,344.7598999999692,252.85940000139817,579.9580999992031,84.0
